timestamp,out.electricity.clothes_dryer,out.electricity.clothes_washer,out.electricity.dishwasher,out.electricity.freezer,out.electricity.hot_water,out.electricity.hot_water_solar_th,out.electricity.mech_vent,out.electricity.permanent_spa_heat,out.electricity.permanent_spa_pump,out.electricity.plug_loads,out.electricity.pool_heater,out.electricity.pool_pump,out.electricity.range_oven,out.electricity.refrigerator,out.electricity.television,out.electricity,out.electricity.well_pump,out.natural_gas.clothes_dryer,out.natural_gas.fireplace,out.natural_gas.grill,out.natural_gas.hot_water,out.natural_gas.permanent_spa_heat,out.natural_gas.pool_heater,out.natural_gas.range_oven,out.natural_gas,out.propane.clothes_dryer,out.propane.hot_water,out.propane.range_oven,out.propane,out
2018-01-01 00:00:00,697164.38,42444.097,62472.616,839109.1799999999,714239.31,0.0,33394.431000000004,39966.555,54800.064,4537676.9,2849.811,38212.947,121800.011,1111554.12,514742.37,8971099.607,160672.815,107014.957,136595.988,5905.2474,1305718.94,23709.7911,16619.969100000002,104633.061,1700197.9536,14154.5143,136641.847,20074.3676,170870.7289,10842168.2895
2018-01-01 01:00:00,957219.44,31629.6647,47692.017,1098063.58,630134.47,0.0,43894.642,58979.533,80801.523,5918438.8,3799.748,50950.596,97104.823,1389784.6,340618.87,10894402.2617,145289.95500000002,150418.114,126232.758,4395.1503,1423026.76,34839.12669999999,22159.9588,70935.1155,1832006.9833,13660.078,133253.93300000002,15502.2585,162416.2695,12888825.5145
2018-01-01 02:00:00,597586.0,6996.49,20568.5218,1070345.24,608948.89,0.0,41810.381,57815.954,79326.63,5859451.1,3799.748,50950.596,46243.904,1367840.6,248935.138,10156664.8808,96045.688,93420.446,81182.962,1968.45809,2423318.39,34401.788,22159.9588,35369.9595,2691821.96239,3487.27695,210528.261,6172.0289,220187.56685,13068674.41004
2018-01-01 03:00:00,206342.13,3012.7043700000004,8090.6154,1042641.78,711065.93,0.0,40825.873,59856.294,82028.73,5839991.8,4473.9089,60265.014,58740.04,1330625.03,232424.894,9754543.06867,74158.325,36769.4141,61730.631,2282.68533,2538980.08,35410.25199999999,26165.8777,41640.903,2742979.84313,1160.892064,236091.228,6096.2995,243348.419564,12740871.331364
2018-01-01 04:00:00,99821.894,6328.1095000000005,8977.8734,1014950.18,1366587.64,0.0,42622.569,84004.00099999999,114908.31,5860142.1,7671.067299999999,104042.977,166789.27,1248713.0,235702.704,10430453.4712,69191.776,20210.5707,56204.968,6636.1255,2845025.25,49241.903,45058.66,138158.683,3160536.1602000003,0.0,263460.848,24786.2747,288247.1227,13879236.7541
2018-01-01 05:00:00,193358.818,16805.4312,21895.1046,999428.19,3009276.48,0.0,45252.376,123961.134,169612.095,5946478.7,14484.109,196492.074,441914.281,1212966.63,269178.063,12735874.1758,74770.69,27186.7369,59941.568,13802.8247,4648143.64,72757.152,85088.475,346819.43,5253739.8266,4688.35444,427554.43,69312.793,501555.57744,18491169.57984
2018-01-01 06:00:00,509501.305,40334.829,67459.45300000001,1020878.36,5697001.9,0.0,51166.154,133851.573,183600.924,6204167.4,25771.679,349194.89,1015395.36,1311287.11,400767.46,17108706.134,98327.737,77831.106,77133.818,30377.0528,7134798.5,79516.144,151284.475,822168.22,8373109.3158,3798.49803,673045.34,177050.356,853894.19403,26335709.64383
2018-01-01 07:00:00,1040972.06,71542.44499999999,157452.74300000002,1070473.13,7108994.0,0.0,57626.449,90726.48,124938.598,6597038.6,44055.942,596636.2000000001,1468609.54,1478954.13,621111.34,20658418.691,129287.034,147565.967,101935.827,54967.532,8735382.6,54930.817,258533.522,1213058.86,10566375.125,7309.8091,862366.8200000001,238702.197,1108378.8261,32333172.6421
2018-01-01 08:00:00,1632694.31,100357.267,251011.937,1113698.86,6948212.2,0.0,54566.26,59078.275,81166.814,6828202.7,81043.85399999999,1099230.2999999998,1397752.6,1653217.38,795520.1699999999,22238365.154,142612.227,269963.29000000004,114949.758,67243.664,8552886.3,35382.568100000004,476042.46,1144283.84,10660751.8801,14372.4472,860503.5,223273.891,1098149.8382,33997266.8723
2018-01-01 09:00:00,2210712.3000000003,109964.722,277261.751,1132107.13,6060988.0,48.7495025,46350.212,47592.082,65332.053,6871499.2,127661.628,1725529.83,1028796.04,1640509.5,918229.05,22404497.552502505,141915.305,346497.68,115380.578,66089.515,7681938.9,28386.903700000003,748240.5,817523.1,9804057.1767,39374.0345,764620.63,150599.16499999998,954593.8295,33163148.558702502
2018-01-01 10:00:00,2470845.92,115170.542,231934.878,1122853.43,5332868.1,127.967447,39784.221,38504.872,52885.344,6853888.8,153898.06,2068677.37,800006.16,1512972.0699999998,1015876.87,21953106.749447,142812.145,360950.33,115608.868,66015.32999999999,6960442.2,23017.0665,898900.09,608566.85,9033500.7345,43618.959,678808.6,126307.055,848734.6140000001,31835342.097947
2018-01-01 11:00:00,2608108.11,104370.048,178244.271,1110202.66,4819254.5,109.686377,40656.377,32864.537000000004,45105.215,6824524.3,156255.11,2094232.09,797659.37,1483237.62,1090906.69,21529889.214377,144158.63,391965.35,116805.234,69071.049,6359583.1,19569.7125,911002.61,637610.77,8505607.8255,24915.0917,626233.36,128694.181,779842.6327000001,30815339.672577
2018-01-01 12:00:00,2398484.44,92945.825,175721.428,1131633.1,4671169.6,93.436544,43980.3155,31256.565,42872.208,6804778.8,153129.52,2052586.14,977262.68,1538504.79,1150075.31,21406409.463044,141915.305,341664.07,115380.578,67880.4,6220277.3,18555.1188,892848.14,792658.63,8449264.2368,24774.2945,619651.38,160798.99300000002,805224.6675,30660898.367344
2018-01-01 13:00:00,2166616.7,87862.811,198714.946,1156955.96,4811716.0,85.31162599999999,43533.7705,31081.044,42626.832,6783011.0,131850.487,1759840.44,897056.1900000001,1567896.54,1218541.48,21037701.772126,140312.26,310051.475,113875.033,62541.714,6348056.6,18440.9064,766735.14,717054.98,8336755.8484,21964.0878,637773.03,145335.56,805072.6778,30179530.298326
2018-01-01 14:00:00,2025223.18,89538.365,177514.408,1162696.88,5126521.5,97.499,44561.135,42471.627,58094.394,6779947.6,106632.529,1423126.1,736248.3,1604635.01,1303002.5,20820366.707,140055.68,315875.796,113565.836,67414.526,6670810.3,24893.1486,620053.02,593436.7,8406049.3266,18131.4849,659025.0,124727.506,801883.9909,30028300.024500005
2018-01-01 15:00:00,2073240.55,93733.144,158034.615,1150520.06,5371015.7,87.342855,43339.54,90248.965,123208.91700000002,6921000.3,86930.09,1160552.74,829319.59,1680843.95,1485248.19,21409879.258855,142555.565,314723.84,115299.671,81571.337,6925849.2,52408.296,505588.41,664292.8,8659733.554,28884.7982,683507.51,123640.692,836033.0002,30905645.813055
2018-01-01 16:00:00,2144520.66,93009.826,192195.425,1174307.87,5482531.2,34.530898,56398.152,200237.811,273428.335,7299488.800000001,62363.725000000006,828511.01,1302586.41,1684941.41,1948520.67,22917356.924898,174281.09,330218.26,137612.82299999995,127391.29499999998,7006603.5,116389.322,361605.32,1088625.1800000002,9168445.7,23453.8384,691526.61,205163.492,920143.9404,33005946.565298
2018-01-01 17:00:00,2099361.12,87940.847,318657.73,1257991.71,5629893.3,0.0,92855.464,263249.68,360726.592,7857972.4,39628.066,525438.33,1942439.41,1713745.64,2729149.1,25143025.119000003,223975.73,303394.85,176798.175,200458.622,7115953.7,155619.91600000003,229497.86,1572289.94,9754013.063,24484.1916,705256.87,307999.99,1037741.0516,35934779.2336
2018-01-01 18:00:00,1995964.52,86082.23,585924.3300000001,1341558.76,5631130.2,0.0,111660.19,210064.98,288871.458,8395011.1,23675.137,313492.25,2056948.4,1896761.14,3976179.65,27182297.36,268973.015,308033.07,214183.936,207801.464,7240911.9,126314.494,136994.1,1623427.97,9857666.934,22928.1055,709599.03,348230.215,1080757.3505,38120721.6445
2018-01-01 19:00:00,1996328.81,103024.511,771041.61,1354103.6,5200006.8,0.0,94707.28,152472.115,209449.529,8652912.1,14012.91,185646.481,1618104.88,1940525.03,5838236.7,28442210.896,311638.54000000004,326966.616,248785.762,151083.46,6761733.3,91222.114,81111.115,1265939.54,8926841.907,26428.4443,674041.3,258148.327,958618.0713,38327670.8743
2018-01-01 20:00:00,2357610.21,108396.74,681120.33,1322396.88,4416519.9,0.0,69830.854,125268.915,171962.347,8611838.2,7894.7174,104332.755,1052222.53,1875057.78,7868804.8,29115865.6484,342608.69,371051.656,275295.676,95383.148,5950844.8,74697.31599999999,45626.821,845694.56,7658593.977,29759.087,586243.02,165098.46399999998,781100.571,37555560.1964
2018-01-01 21:00:00,2377764.9,103401.302,493196.34,1291823.34,3684510.5,0.0,57589.28,105871.099,145348.83800000002,8160605.9,4759.5714,63191.272,690571.36,1770175.71,8307384.5,27621975.5824,365781.67,392640.905,294586.48,53252.265,5224665.3,63158.298,27586.3519,564858.27,6620747.869900001,34269.9052,511341.54,114978.658,660590.1032,34903313.5555
2018-01-01 22:00:00,2170082.15,75064.992,320426.55000000005,1252003.38,3068063.4,0.0,52656.251,75235.64,103483.496,7321580.8,3891.6462,52092.709,466437.965,1612496.69,5750179.3,22671204.5892,347509.62,351997.11,284587.54000000004,28468.124,4542583.699999999,45294.647,22671.3524,378057.3,5653659.7734,28020.4096,438434.66,62139.298,528594.3676,28853458.7302
