Unnamed: 0,out,out.electricity,out.electricity.clothes_dryer,out.electricity.clothes_washer,out.electricity.dishwasher,out.electricity.freezer,out.electricity.hot_water,out.electricity.mech_vent,out.electricity.permanent_spa_heat,out.electricity.permanent_spa_pump,out.electricity.plug_loads,out.electricity.range_oven,out.electricity.refrigerator,out.electricity.television,out.electricity.well_pump,out.natural_gas,out.natural_gas.fireplace,out.natural_gas.grill,out.natural_gas.hot_water,out.propane,out.propane.hot_water,out.propane.range_oven
out,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
out.electricity,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
out.electricity.clothes_dryer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
out.electricity.clothes_washer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
out.electricity.dishwasher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
out.electricity.freezer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
out.electricity.hot_water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
out.electricity.mech_vent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
out.electricity.permanent_spa_heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
out.electricity.permanent_spa_pump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
out.electricity.plug_loads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
out.electricity.range_oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
out.electricity.refrigerator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
out.electricity.television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
out.electricity.well_pump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
out.natural_gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
out.natural_gas.fireplace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
out.natural_gas.grill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
out.natural_gas.hot_water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
out.propane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
out.propane.hot_water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
out.propane.range_oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
